Compound_Name,MOL_WEIGHT,IC50,Target Name,SMILES
BDBM102307,408.509,0.0061,RAC-alpha serine/threonine-protein kinase,N=C(N)n1c(=N)ccc2nc(-c3ccc(C4(N)CCC4)cc3)c(-c3ccccc3)cc21
BDBM102308,407.521,0.0082,RAC-alpha serine/threonine-protein kinase,CC(=N)n1c(=N)ccc2nc(-c3ccc(C4(N)CCC4)cc3)c(-c3ccccc3)cc21
BDBM102309,505.572,0.01,RAC-alpha serine/threonine-protein kinase,N=C(c1ccccc1)n1c(=N)ccc2nc(-c3ccc(C4(N)CC(F)(F)C4)cc3)c(-c3ccccc3)cc21
BDBM102310,471.511,0.00038,RAC-alpha serine/threonine-protein kinase,C[C@]1(O)C[C@@](N)(c2ccc(-c3nc4ccc5nnc(C(F)F)n5c4cc3-c3ccccc3)cc2)C1
BDBM102311,469.592,0.0023,RAC-alpha serine/threonine-protein kinase,N=C(c1ccccc1)n1c(=N)ccc2nc(-c3ccc(C4(N)CCC4)cc3)c(-c3ccccc3)cc21
BDBM102312,528.616,0.039,RAC-alpha serine/threonine-protein kinase,N=c1ccc2nc(-c3ccc(C4(NC(=O)Cc5cccnc5)CCC4)cc3)c(-c3ccccc3)cc2n1C(N)=O
BDBM103034,326.363,0.73,RAC-alpha serine/threonine-protein kinase,Nc1ccc(-c2nnc3n2-c2cccnc2Nc2ccccc2-3)cc1
BDBM103046,341.374,1,RAC-alpha serine/threonine-protein kinase,OCc1ccc(-c2nnc3n2-c2cccnc2Nc2ccccc2-3)cc1
BDBM103047,540.631,0.083,RAC-alpha serine/threonine-protein kinase,O=c1[nH]c2ccccc2n1C1CCN(Cc2ccc(-c3nnc4n3-c3cccnc3Nc3ccccc3-4)cc2)CC1
BDBM103050,460.497,0.16,RAC-alpha serine/threonine-protein kinase,COc1cccc(C(=O)Nc2ccc(-c3nnc4n3-c3cccnc3Nc3ccccc3-4)cc2)c1
BDBM103051,480.531,0.68,RAC-alpha serine/threonine-protein kinase,O=C(Nc1ccc(-c2nnc3n2-c2cccnc2Nc2ccccc2-3)cc1)c1ccc2ccccc2c1
BDBM103053,444.498,0.1,RAC-alpha serine/threonine-protein kinase,Cc1ccc(C(=O)Nc2ccc(-c3nnc4n3-c3cccnc3Nc3ccccc3-4)cc2)cc1
BDBM103054,460.497,0.16,RAC-alpha serine/threonine-protein kinase,COc1ccc(C(=O)Nc2ccc(-c3nnc4n3-c3cccnc3Nc3ccccc3-4)cc2)cc1
BDBM103055,396.454,0.73,RAC-alpha serine/threonine-protein kinase,CCCC(=O)Nc1ccc(-c2nnc3n2-c2cccnc2Nc2ccccc2-3)cc1
BDBM103056,410.481,0.7,RAC-alpha serine/threonine-protein kinase,CC(C)CC(=O)Nc1ccc(-c2nnc3n2-c2cccnc2Nc2ccccc2-3)cc1
BDBM103057,480.531,0.64,RAC-alpha serine/threonine-protein kinase,O=C(Nc1ccc(-c2nnc3n2-c2cccnc2Nc2ccccc2-3)cc1)c1cccc2ccccc12
BDBM103058,494.558,0.95,RAC-alpha serine/threonine-protein kinase,O=C(Cc1cccc2ccccc12)Nc1ccc(-c2nnc3n2-c2cccnc2Nc2ccccc2-3)cc1
BDBM103059,424.508,0.34,RAC-alpha serine/threonine-protein kinase,CC(C)(C)CC(=O)Nc1ccc(-c2nnc3n2-c2cccnc2Nc2ccccc2-3)cc1
BDBM103060,466.451,0.15,RAC-alpha serine/threonine-protein kinase,O=C(Nc1ccc(-c2nnc3n2-c2cccnc2Nc2ccccc2-3)cc1)c1ccc(F)c(F)c1
BDBM103061,455.481,0.14,RAC-alpha serine/threonine-protein kinase,[C-]#[N+]c1ccc(C(=O)Nc2ccc(-c3nnc4n3-c3cccnc3Nc3ccccc3-4)cc2)cc1
BDBM103063,431.459,0.26,RAC-alpha serine/threonine-protein kinase,O=C(Nc1ccc(-c2nnc3n2-c2cccnc2Nc2ccccc2-3)cc1)c1cccnc1
BDBM103064,460.497,0.52,RAC-alpha serine/threonine-protein kinase,COc1ccccc1C(=O)Nc1ccc(-c2nnc3n2-c2cccnc2Nc2ccccc2-3)cc1
BDBM103065,486.56,0.36,RAC-alpha serine/threonine-protein kinase,O=C(Nc1ccc(-c2nnc3n2-c2cccnc2Nc2ccccc2-3)cc1)c1cc2ccccc2s1
BDBM103066,410.481,0.42,RAC-alpha serine/threonine-protein kinase,CC(C)(C)C(=O)Nc1ccc(-c2nnc3n2-c2cccnc2Nc2ccccc2-3)cc1
BDBM103067,486.579,0.23,RAC-alpha serine/threonine-protein kinase,CC(C)(C)c1ccc(C(=O)Nc2ccc(-c3nnc4n3-c3cccnc3Nc3ccccc3-4)cc2)cc1
BDBM103070,474.48,0.053,RAC-alpha serine/threonine-protein kinase,O=C(Nc1ccc(-c2nnc3n2-c2cccnc2Nc2ccccc2-3)cc1)c1ccc2c(c1)OCO2
BDBM103071,435.447,0.12,RAC-alpha serine/threonine-protein kinase,Cc1cc(C(=O)Nc2ccc(-c3nnc4n3-c3cccnc3Nc3ccccc3-4)cc2)no1
BDBM103072,444.498,0.24,RAC-alpha serine/threonine-protein kinase,O=C(Cc1ccccc1)Nc1ccc(-c2nnc3n2-c2cccnc2Nc2ccccc2-3)cc1
BDBM103073,420.432,0.13,RAC-alpha serine/threonine-protein kinase,O=C(Nc1ccc(-c2nnc3n2-c2cccnc2Nc2ccccc2-3)cc1)c1ccco1
BDBM103074,448.461,0.11,RAC-alpha serine/threonine-protein kinase,O=C(Nc1ccc(-c2nnc3n2-c2cccnc2Nc2ccccc2-3)cc1)c1ccccc1F
BDBM103075,498.468,0.65,RAC-alpha serine/threonine-protein kinase,O=C(Nc1ccc(-c2nnc3n2-c2cccnc2Nc2ccccc2-3)cc1)c1ccc(C(F)(F)F)cc1
BDBM103078,482.507,0.16,RAC-alpha serine/threonine-protein kinase,O=C(Nc1ccc(-c2nnc3n2-c2cccnc2Nc2ccccc2-3)cc1)c1cnc2ccccc2n1
BDBM103079,448.461,0.11,RAC-alpha serine/threonine-protein kinase,O=C(Nc1ccc(-c2nnc3n2-c2cccnc2Nc2ccccc2-3)cc1)c1ccc(F)cc1
BDBM103080,408.465,0.7,RAC-alpha serine/threonine-protein kinase,O=C(Nc1ccc(-c2nnc3n2-c2cccnc2Nc2ccccc2-3)cc1)C1CCC1
BDBM103081,431.459,0.35,RAC-alpha serine/threonine-protein kinase,O=C(Nc1ccc(-c2nnc3n2-c2cccnc2Nc2ccccc2-3)cc1)c1ccncc1
BDBM103082,430.471,0.07,RAC-alpha serine/threonine-protein kinase,O=C(Nc1ccc(-c2nnc3n2-c2cccnc2Nc2ccccc2-3)cc1)c1ccccc1
BDBM103083,455.481,0.076,RAC-alpha serine/threonine-protein kinase,[C-]#[N+]c1cccc(C(=O)Nc2ccc(-c3nnc4n3-c3cccnc3Nc3ccccc3-4)cc2)c1
BDBM103084,506.569,0.78,RAC-alpha serine/threonine-protein kinase,O=C(Nc1ccc(-c2nnc3n2-c2cccnc2Nc2ccccc2-3)cc1)c1ccc(-c2ccccc2)cc1
BDBM103085,340.39,0.69,RAC-alpha serine/threonine-protein kinase,NCc1ccc(-c2nnc3n2-c2cccnc2Nc2ccccc2-3)cc1
BDBM103087,419.466,0.49,RAC-alpha serine/threonine-protein kinase,CS(=O)(=O)OCc1ccc(-c2nnc3n2-c2cccnc2Nc2ccccc2-3)cc1
BDBM103102,458.569,0.78,RAC-alpha serine/threonine-protein kinase,CN(CCc1ccccc1)Cc1ccc(-c2nnc3n2-c2cccnc2Nc2ccccc2-3)cc1
BDBM103118,462.488,0.3,RAC-alpha serine/threonine-protein kinase,O=C(NCc1ccc(-c2nnc3n2-c2cccnc2Nc2ccccc2-3)cc1)c1ccc(F)cc1
BDBM103119,445.486,0.2,RAC-alpha serine/threonine-protein kinase,O=C(NCc1ccc(-c2nnc3n2-c2cccnc2Nc2ccccc2-3)cc1)c1cccnc1
BDBM103121,487.567,0.11,RAC-alpha serine/threonine-protein kinase,CN(C)c1ccc(C(=O)NCc2ccc(-c3nnc4n3-c3cccnc3Nc3ccccc3-4)cc2)cc1
BDBM103122,444.498,0.2,RAC-alpha serine/threonine-protein kinase,O=C(NCc1ccc(-c2nnc3n2-c2cccnc2Nc2ccccc2-3)cc1)c1ccccc1
BDBM103124,480.553,0.14,RAC-alpha serine/threonine-protein kinase,O=S(=O)(NCc1ccc(-c2nnc3n2-c2cccnc2Nc2ccccc2-3)cc1)c1ccccc1
BDBM103125,510.579,0.8,RAC-alpha serine/threonine-protein kinase,COc1ccc(S(=O)(=O)NCc2ccc(-c3nnc4n3-c3cccnc3Nc3ccccc3-4)cc2)cc1
BDBM103126,484.545,0.24,RAC-alpha serine/threonine-protein kinase,Cn1cnc(S(=O)(=O)NCc2ccc(-c3nnc4n3-c3cccnc3Nc3ccccc3-4)cc2)c1
BDBM103127,484.545,0.12,RAC-alpha serine/threonine-protein kinase,Cn1ccc(S(=O)(=O)NCc2ccc(-c3nnc4n3-c3cccnc3Nc3ccccc3-4)cc2)n1
BDBM103128,481.541,0.22,RAC-alpha serine/threonine-protein kinase,O=S(=O)(NCc1ccc(-c2nnc3n2-c2cccnc2Nc2ccccc2-3)cc1)c1cccnc1
BDBM103133,473.54,0.12,RAC-alpha serine/threonine-protein kinase,O=C(NCCc1ccc(-c2nnc3n2-c2cccnc2Nc2ccccc2-3)cc1)Nc1ccccc1
BDBM103134,458.525,0.63,RAC-alpha serine/threonine-protein kinase,O=C(NCCc1ccc(-c2nnc3n2-c2cccnc2Nc2ccccc2-3)cc1)c1ccccc1
BDBM103135,498.543,0.17,RAC-alpha serine/threonine-protein kinase,O=S(=O)(NCc1ccc(-c2nnc3n2-c2cccnc2Nc2ccccc2-3)cc1)c1ccccc1F
BDBM103136,498.543,0.4,RAC-alpha serine/threonine-protein kinase,O=S(=O)(NCc1ccc(-c2nnc3n2-c2cccnc2Nc2ccccc2-3)cc1)c1cccc(F)c1
BDBM103137,510.579,0.14,RAC-alpha serine/threonine-protein kinase,COc1cccc(S(=O)(=O)NCc2ccc(-c3nnc4n3-c3cccnc3Nc3ccccc3-4)cc2)c1
BDBM103138,494.58,0.11,RAC-alpha serine/threonine-protein kinase,Cc1cccc(S(=O)(=O)NCc2ccc(-c3nnc4n3-c3cccnc3Nc3ccccc3-4)cc2)c1
BDBM103139,514.998,0.15,RAC-alpha serine/threonine-protein kinase,O=S(=O)(NCc1ccc(-c2nnc3n2-c2cccnc2Nc2ccccc2-3)cc1)c1cccc(Cl)c1
BDBM103140,498.543,0.12,RAC-alpha serine/threonine-protein kinase,O=S(=O)(NCc1ccc(-c2nnc3n2-c2cccnc2Nc2ccccc2-3)cc1)c1ccc(F)cc1
BDBM103141,494.58,0.11,RAC-alpha serine/threonine-protein kinase,Cc1ccc(S(=O)(=O)NCc2ccc(-c3nnc4n3-c3cccnc3Nc3ccccc3-4)cc2)cc1
BDBM103142,514.998,0.22,RAC-alpha serine/threonine-protein kinase,O=S(=O)(NCc1ccc(-c2nnc3n2-c2cccnc2Nc2ccccc2-3)cc1)c1ccc(Cl)cc1
BDBM103143,537.605,0.14,RAC-alpha serine/threonine-protein kinase,CC(=O)Nc1ccc(S(=O)(=O)NCc2ccc(-c3nnc4n3-c3cccnc3Nc3ccccc3-4)cc2)cc1
BDBM103144,477.503,0.31,RAC-alpha serine/threonine-protein kinase,O=C(NCc1ccc(-c2nnc3n2-c2cccnc2Nc2ccccc2-3)cc1)Nc1ccccc1F
BDBM103146,489.539,0.13,RAC-alpha serine/threonine-protein kinase,COc1cccc(NC(=O)NCc2ccc(-c3nnc4n3-c3cccnc3Nc3ccccc3-4)cc2)c1
BDBM103148,473.54,0.48,RAC-alpha serine/threonine-protein kinase,Cc1cccc(NC(=O)NCc2ccc(-c3nnc4n3-c3cccnc3Nc3ccccc3-4)cc2)c1
BDBM103149,380.455,0.099,RAC-alpha serine/threonine-protein kinase,NC1(c2ccc(-c3nnc4n3-c3cccnc3Nc3ccccc3-4)cc2)CCC1
BDBM103151,539.643,0.94,RAC-alpha serine/threonine-protein kinase,O=c1[nH]c2ccccc2n1C1CCN(Cc2ccc(-c3nnc4n3-c3ccccc3Nc3ccccc3-4)cc2)CC1
BDBM103157,543.631,0.43,RAC-alpha serine/threonine-protein kinase,COc1ccccc1C(=O)N1CCN(Cc2ccc(-c3nnc4n3-c3cccnc3Nc3ccccc3-4)cc2)CC1
BDBM103162,538.615,0.99,RAC-alpha serine/threonine-protein kinase,[C-]#[N+]c1ccc(C(=O)N2CCN(Cc3ccc(-c4nnc5n4-c4cccnc4Nc4ccccc4-5)cc3)CC2)cc1
BDBM103164,531.595,0.45,RAC-alpha serine/threonine-protein kinase,O=C(c1ccccc1F)N1CCN(Cc2ccc(-c3nnc4n3-c3cccnc3Nc3ccccc3-4)cc2)CC1
BDBM103209,498.55,0.49,RAC-alpha serine/threonine-protein kinase,c1ccc(-n2cc(COCc3ccc(-c4nnc5n4-c4cccnc4Nc4ccccc4-5)cc3)nn2)cc1
BDBM103210,523.644,0.5,RAC-alpha serine/threonine-protein kinase,c1ccc2c(c1)Nc1ncccc1-n1c(-c3ccc(CN4CCC(c5c[nH]c6ccccc56)CC4)cc3)nnc1-2
BDBM103211,500.606,0.83,RAC-alpha serine/threonine-protein kinase,c1ccc(OC2CCN(Cc3ccc(-c4nnc5n4-c4cccnc4Nc4ccccc4-5)cc3)CC2)cc1
BDBM103212,500.606,0.92,RAC-alpha serine/threonine-protein kinase,c1ccc(OC2CCCN(Cc3ccc(-c4nnc5n4-c4cccnc4Nc4ccccc4-5)cc3)C2)cc1
BDBM103213,490.571,0.41,RAC-alpha serine/threonine-protein kinase,Cc1noc(C2CCCN(Cc3ccc(-c4nnc5n4-c4cccnc4Nc4ccccc4-5)cc3)C2)n1
BDBM103215,368.444,0.34,RAC-alpha serine/threonine-protein kinase,CC(C)(N)c1ccc(-c2nnc3n2-c2cccnc2Nc2ccccc2-3)cc1
BDBM103216,484.563,0.073,RAC-alpha serine/threonine-protein kinase,O=C(NC1(c2ccc(-c3nnc4n3-c3cccnc3Nc3ccccc3-4)cc2)CCC1)c1ccccc1
BDBM103218,520.618,0.28,RAC-alpha serine/threonine-protein kinase,O=S(=O)(NC1(c2ccc(-c3nnc4n3-c3cccnc3Nc3ccccc3-4)cc2)CCC1)c1ccccc1
BDBM103225,501.569,0.21,RAC-alpha serine/threonine-protein kinase,Fc1ccc2c(CCNCc3ccc(-c4nnc5n4-c4cccnc4Nc4ccccc4-5)cc3)c[nH]c2c1
BDBM103226,519.012,0.15,RAC-alpha serine/threonine-protein kinase,Clc1ccc2nc(CCNCc3ccc(-c4nnc5n4-c4cccnc4Nc4ccccc4-5)cc3)[nH]c2c1
BDBM103239,394.482,0.96,RAC-alpha serine/threonine-protein kinase,Cc1ccc2c(c1)-c1nnc(-c3ccc(C4(N)CCC4)cc3)n1-c1cccnc1N2
BDBM103240,408.509,0.5,RAC-alpha serine/threonine-protein kinase,NC1(c2ccc(-c3nnc4n3-c3cccnc3Nc3ccccc3-4)cc2)CCCCC1
BDBM103242,459.351,0.13,RAC-alpha serine/threonine-protein kinase,NC1(c2ccc(-c3nnc4n3-c3cccnc3Nc3ccc(Br)cc3-4)cc2)CCC1
BDBM103245,366.428,0.14,RAC-alpha serine/threonine-protein kinase,NC1(c2ccc(-c3nnc4n3-c3cccnc3Nc3ccccc3-4)cc2)CC1
BDBM103246,394.482,0.49,RAC-alpha serine/threonine-protein kinase,Cc1ccc2c(c1)Nc1ncccc1-n1c(-c3ccc(C4(N)CCC4)cc3)nnc1-2
BDBM113565,397.439,0.148,RAC-alpha serine/threonine-protein kinase,Cc1nc(N)nc2c1cc(-c1cn[nH]c1)c(=O)n2[C@H]1CC[C@@H](OCC(N)=O)CC1
BDBM116525,339.374,0.015,RAC-alpha serine/threonine-protein kinase,CNCC(Nc1ncnc2c(C(N)=O)cccc12)c1cccc(F)c1
BDBM117012,339.374,0.004,RAC-alpha serine/threonine-protein kinase,CNC[C@@H](Nc1ncnc2c(C(N)=O)cccc12)c1cccc(F)c1
BDBM15021,331.419,0.69,RAC-alpha serine/threonine-protein kinase,N[C@H](COc1cncc(/C=C/c2ccncc2)c1)Cc1ccccc1
BDBM15022,370.456,0.014,RAC-alpha serine/threonine-protein kinase,N[C@H](COc1cncc(/C=C/c2ccncc2)c1)Cc1c[nH]c2ccccc12
BDBM15023,368.44,0.21,RAC-alpha serine/threonine-protein kinase,N[C@H](COc1cncc(C#Cc2ccncc2)c1)Cc1c[nH]c2ccccc12
BDBM15037,344.418,0.245,RAC-alpha serine/threonine-protein kinase,N[C@H](COc1cncc(-c2ccncc2)c1)Cc1c[nH]c2ccccc12
BDBM15050,400.482,0.227,RAC-alpha serine/threonine-protein kinase,CC(=O)Nc1ccc(-c2cncc(OC[C@@H](N)Cc3c[nH]c4ccccc34)c2)cc1
BDBM15062,394.478,0.3,RAC-alpha serine/threonine-protein kinase,N[C@H](COc1cnc2ccc(-c3ccncc3)cc2c1)Cc1c[nH]c2ccccc12
BDBM15064,409.493,0.21,RAC-alpha serine/threonine-protein kinase,N[C@H](CNc1cncc(Oc2cccc3cnccc23)c1)Cc1c[nH]c2ccccc12
BDBM15065,408.509,0.27,RAC-alpha serine/threonine-protein kinase,N[C@H](CNc1cncc(Nc2cccc3cnccc23)c1)Cc1c[nH]c2ccccc12
BDBM15066,395.466,0.19,RAC-alpha serine/threonine-protein kinase,N[C@H](COc1cncc2nc(-c3ccncc3)ccc12)Cc1c[nH]c2ccccc12
BDBM15067,394.478,0.0013,RAC-alpha serine/threonine-protein kinase,N[C@H](COc1cncc(-c2ccc3cnccc3c2)c1)Cc1c[nH]c2ccccc12
BDBM15068,394.478,0.026,RAC-alpha serine/threonine-protein kinase,N[C@@H](COc1cncc(-c2ccc3cnccc3c2)c1)Cc1c[nH]c2ccccc12
BDBM15077,407.517,0.273,RAC-alpha serine/threonine-protein kinase,N[C@H](COc1cncc(/C=C/c2ccncc2)c1)C(c1ccccc1)c1ccccc1
BDBM15081,347.418,0.875,RAC-alpha serine/threonine-protein kinase,N[C@H](COc1cncc(/C=C/c2ccncc2)c1)Cc1cccc(O)c1
BDBM15082,356.429,0.32,RAC-alpha serine/threonine-protein kinase,N#Cc1cccc(C[C@H](N)COc2cncc(/C=C/c3ccncc3)c2)c1
BDBM15083,381.479,0.324,RAC-alpha serine/threonine-protein kinase,N[C@H](COc1cncc(/C=C/c2ccncc2)c1)Cc1cccc2ccccc12
BDBM15084,381.479,0.146,RAC-alpha serine/threonine-protein kinase,N[C@H](COc1cncc(/C=C/c2ccncc2)c1)Cc1ccc2ccccc2c1
BDBM15085,387.508,0.142,RAC-alpha serine/threonine-protein kinase,N[C@H](COc1cncc(/C=C/c2ccncc2)c1)Cc1csc2ccccc12
BDBM15087,370.456,0.36,RAC-alpha serine/threonine-protein kinase,N[C@@H](COc1cncc(/C=C/c2ccncc2)c1)Cc1c[nH]c2ccccc12
BDBM15088,404.901,0.023,RAC-alpha serine/threonine-protein kinase,N[C@H](COc1cnc(Cl)c(/C=C/c2ccncc2)c1)Cc1c[nH]c2ccccc12
BDBM15089,404.901,0.273,RAC-alpha serine/threonine-protein kinase,N[C@H](COc1cc(/C=C/c2ccncc2)cnc1Cl)Cc1c[nH]c2ccccc12
BDBM15090,384.483,0.5,RAC-alpha serine/threonine-protein kinase,Cn1cc(C[C@H](N)COc2cncc(/C=C/c3ccncc3)c2)c2ccccc21
BDBM15094,402.929,0.198,RAC-alpha serine/threonine-protein kinase,N[C@H](CCc1cnc(Cl)c(/C=C/c2ccncc2)c1)Cc1c[nH]c2ccccc12
BDBM15095,403.917,0.079,RAC-alpha serine/threonine-protein kinase,N[C@H](CNc1cnc(Cl)c(/C=C/c2ccncc2)c1)Cc1c[nH]c2ccccc12
