SMILES,pred_IC50,P-gp_substrate,P-gp_I_inhibitor,P-gp_II_inhibitor,CYP2D6_substrate,CYP3A4_substrate,CYP1A2_inhibitor,CYP2C19_inhibitor,CYP2C9_inhibitor,AMES_toxicity,hERG_II_inhibitor,Hepatotoxicity,Skin_Sensitisation
CC(C)Cc1ccc(CC(=O)O)cc1,135.05716800669194,0,0,0,0,0,0,0,0,0,0,0,0
COc1ccc(C(C)C(=O)O)cc1,154.1493023744963,0,0,0,0,0,0,0,0,0,0,0,0
CCOc1ccc(CC(=O)O)cc1,187.90632598936696,0,0,0,0,0,0,0,0,0,0,0,0
CC(C)Cc1ccc(C(C)C(=O)O)cc1,150.37241720829138,0,0,0,0,0,0,0,0,0,0,0,0
COc1ccc(CC(=O)O)cc1,165.50348599323146,0,0,0,0,0,0,0,0,0,0,0,0
CC(C)Cc1ccc(CC(=O)O)cc1,140.23820848681214,0,0,0,0,0,0,0,0,0,0,0,0
COc1ccc(C(C)C(=O)O)cc1,54.33259733717362,0,0,0,0,0,0,0,0,0,0,0,0
CCOc1ccc(CC(=O)O)cc1,75.72991768781787,0,0,0,0,0,0,0,0,0,0,0,0
CC(C)Cc1ccc(C(C)C(=O)O)cc1,125.18502075494759,0,0,0,0,0,0,0,0,0,0,0,0
COc1ccc(CC(=O)O)cc1,145.48308076683998,0,0,0,0,0,0,0,0,0,0,0,0
CC(C)Cc1ccc(CC(=O)O)cc1,95.64720162776503,0,0,0,0,0,0,0,0,0,0,0,0
COc1ccc(C(C)C(=O)O)cc1,110.06366105410702,0,0,0,0,0,0,0,0,0,0,0,0
CCOc1ccc(CC(=O)O)cc1,186.02020838233824,0,0,0,0,0,0,0,0,0,0,0,0
CC(C)Cc1ccc(C(C)C(=O)O)cc1,136.71743283518708,0,0,0,0,0,0,0,0,0,0,0,0
COc1ccc(CC(=O)O)cc1,124.69564136379816,0,0,0,0,0,0,0,0,0,0,0,0
CC(C)Cc1ccc(CC(=O)O)cc1,105.99764735908911,0,0,0,0,0,0,0,0,0,0,0,0
COc1ccc(C(C)C(=O)O)cc1,66.48805151951282,0,0,0,0,0,0,0,0,0,0,0,0
CCOc1ccc(CC(=O)O)cc1,147.16896830066162,0,0,0,0,0,0,0,0,0,0,0,0
CC(C)Cc1ccc(C(C)C(=O)O)cc1,180.2612949229847,0,0,0,0,0,0,0,0,0,0,0,0
COc1ccc(CC(=O)O)cc1,73.48105203672819,0,0,0,0,0,0,0,0,0,0,0,0
CC(C)Cc1ccc(CC(=O)O)cc1,53.806584521518644,0,0,0,0,0,0,0,0,0,0,0,0
COc1ccc(C(C)C(=O)O)cc1,62.05096875045856,0,0,0,0,0,0,0,0,0,0,0,0
CCOc1ccc(CC(=O)O)cc1,29.057065139084184,0,0,0,0,0,0,0,0,0,0,0,0
CC(C)Cc1ccc(C(C)C(=O)O)cc1,35.70378278960713,0,0,0,0,0,0,0,0,0,0,0,0
COc1ccc(CC(=O)O)cc1,70.04593683019006,0,0,0,0,0,0,0,0,0,0,0,0
CC(C)Cc1ccc(CC(=O)O)cc1,13.292984755932721,0,0,0,0,0,0,0,0,0,0,0,0
COc1ccc(C(C)C(=O)O)cc1,54.35061747414969,0,0,0,0,0,0,0,0,0,0,0,0
CCOc1ccc(CC(=O)O)cc1,91.35721511873383,0,0,0,0,0,0,0,0,0,0,0,0
CC(C)Cc1ccc(C(C)C(=O)O)cc1,142.5707922508458,0,0,0,0,0,0,0,0,0,0,0,0
COc1ccc(CC(=O)O)cc1,158.21222884529496,0,0,0,0,0,0,0,0,0,0,0,0
CC(C)Cc1ccc(CC(=O)O)cc1,179.0485191655012,0,0,0,0,0,0,0,0,0,0,0,0
COc1ccc(C(C)C(=O)O)cc1,28.22829008336871,0,0,0,0,0,0,0,0,0,0,0,0
CCOc1ccc(CC(=O)O)cc1,89.06603280109164,0,0,0,0,0,0,0,0,0,0,0,0
CC(C)Cc1ccc(C(C)C(=O)O)cc1,180.18622500971108,0,0,0,0,0,0,0,0,0,0,0,0
COc1ccc(CC(=O)O)cc1,112.37570102946391,0,0,0,0,0,0,0,0,0,0,0,0
CC(C)Cc1ccc(CC(=O)O)cc1,170.36309748774448,0,0,0,0,0,0,0,0,0,0,0,0
COc1ccc(C(C)C(=O)O)cc1,85.61871364810973,0,0,0,0,0,0,0,0,0,0,0,0
CCOc1ccc(CC(=O)O)cc1,95.43882289385567,0,0,0,0,0,0,0,0,0,0,0,0
CC(C)Cc1ccc(C(C)C(=O)O)cc1,191.76506308635993,0,0,0,0,0,0,0,0,0,0,0,0
COc1ccc(CC(=O)O)cc1,20.423823719955152,0,0,0,0,0,0,0,0,0,0,0,0
CC(C)Cc1ccc(CC(=O)O)cc1,117.7782589020816,0,0,0,0,0,0,0,0,0,0,0,0
COc1ccc(C(C)C(=O)O)cc1,125.01994240050793,0,0,0,0,0,0,0,0,0,0,0,0
CCOc1ccc(CC(=O)O)cc1,149.61161892696373,0,0,0,0,0,0,0,0,0,0,0,0
CC(C)Cc1ccc(C(C)C(=O)O)cc1,138.01124213470538,0,0,0,0,0,0,0,0,0,0,0,0
COc1ccc(CC(=O)O)cc1,62.56070825497968,0,0,0,0,0,0,0,0,0,0,0,0
CC(C)Cc1ccc(CC(=O)O)cc1,76.51054825685019,0,0,0,0,0,0,0,0,0,0,0,0
COc1ccc(C(C)C(=O)O)cc1,187.50305505903975,0,0,0,0,0,0,0,0,0,0,0,0
CCOc1ccc(CC(=O)O)cc1,167.52226745003003,0,0,0,0,0,0,0,0,0,0,0,0
CC(C)Cc1ccc(C(C)C(=O)O)cc1,61.633295755684266,0,0,0,0,0,0,0,0,0,0,0,0
COc1ccc(CC(=O)O)cc1,143.73881271410133,0,0,0,0,0,0,0,0,0,0,0,0
CC(C)Cc1ccc(CC(=O)O)cc1,57.60491232621612,0,0,0,0,0,0,0,0,0,0,0,0
COc1ccc(C(C)C(=O)O)cc1,197.86015011745985,0,0,0,0,0,0,0,0,0,0,0,0
CCOc1ccc(CC(=O)O)cc1,101.66155873141221,0,0,0,0,0,0,0,0,0,0,0,0
CC(C)Cc1ccc(C(C)C(=O)O)cc1,176.04482862597925,0,0,0,0,0,0,0,0,0,0,0,0
COc1ccc(CC(=O)O)cc1,188.29418021395645,0,0,0,0,0,0,0,0,0,0,0,0
CC(C)Cc1ccc(CC(=O)O)cc1,129.2670933449864,0,0,0,0,0,0,0,0,0,0,0,0
COc1ccc(C(C)C(=O)O)cc1,86.98876186285317,0,0,0,0,0,0,0,0,0,0,0,0
CCOc1ccc(CC(=O)O)cc1,12.407507477041584,0,0,0,0,0,0,0,0,0,0,0,0
CC(C)Cc1ccc(C(C)C(=O)O)cc1,70.61599060050276,0,0,0,0,0,0,0,0,0,0,0,0
COc1ccc(CC(=O)O)cc1,161.055611680209,0,0,0,0,0,0,0,0,0,0,0,0
CC(C)Cc1ccc(CC(=O)O)cc1,156.55670754004436,0,0,0,0,0,0,0,0,0,0,0,0
COc1ccc(C(C)C(=O)O)cc1,21.150829083582167,0,0,0,0,0,0,0,0,0,0,0,0
